"","SPP2","forage_N","forage","forage_sd","forage_se","forage_unc_N","forage_unc","forage_unc_sd","forage_unc_se","livestock_N","livestock","livestock_sd","livestock_se","livestock_unc_N","livestock_unc","livestock_unc_sd","livestock_unc_se","water_N","water","water_sd","water_se","water_unc_N","water_unc","water_unc_sd","water_unc_se","wildfood_N","wildfood","wildfood_sd","wildfood_se","wildfood_unc_N","wildfood_unc","wildfood_unc_sd","wildfood_unc_se","forest_product_N","forest_product","forest_product_sd","forest_product_se","forest_product_unc_N","forest_product_unc","forest_product_unc_sd","forest_product_unc_se","pollination_N","pollination","pollination_sd","pollination_se","pollination_unc_N","pollination_unc","pollination_unc_sd","pollination_unc_se","eco_integrity_N","eco_integrity","eco_integrity_sd","eco_integrity_se","eco_integrity_unc_N","eco_integrity_unc","eco_integrity_unc_sd","eco_integrity_unc_se","biodiversity_N","biodiversity","biodiversity_sd","biodiversity_se","biodiversity_unc_N","biodiversity_unc","biodiversity_unc_sd","biodiversity_unc_se","familiarity_N","familiarity_x","familiarity_sd","familiarity_se","scale_N","scale","scale_sd","scale_se","scale_unc_N","scale_unc","scale_unc_sd","scale_unc_se","forage_unc_cat","livestock_unc_cat","water_unc_cat","wildfood_unc_cat","forest_product_unc_cat","pollination_unc_cat","eco_integrity_unc_cat","biodiversity_unc_cat","scale_unc_cat"
"1","canada thistle",38,-2.55263157894737,1.30895808412754,0.21234104060777,32,2.46875,1.07716398847368,0.21234104060777,38,-2.34210526315789,1.32085794783161,0.214271453409106,33,2.81818181818182,1.10268267915529,0.214271453409106,37,-1.02702702702703,1.06683557221258,0.175386687693079,34,2.61764705882353,1.12854709176198,0.175386687693079,37,-1.45945945945946,1.5017507300665,0.246886299208013,35,2.71428571428571,0.925820099772551,0.246886299208013,36,-0.694444444444444,0.920231164884887,0.153371860814148,35,2.71428571428571,1.10003819643385,0.153371860814148,36,0.111111111111111,1.63493604554303,0.272489340923838,35,2.74285714285714,1.12047408933627,0.272489340923838,35,-2.08571428571429,1.42191727589751,0.240347887119353,32,2.75,1.07763181216065,0.240347887119353,35,-2.4,1.55676890120683,0.263141972096797,33,2.57575757575758,0.936426152664448,0.263141972096797,40,3.75,1.14913568411777,0.181694305119397,37,5.45945945945946,2.29243435135126,0.37687388582616,29,2.62068965517241,0.978840170210507,0.37687388582616,"low","moderate","moderate","moderate","moderate","moderate","moderate","moderate","moderate"
"2","eastern redcedar",38,-3.05263157894737,1.67569861866549,0.271834211306772,32,2.59375,1.13192314226718,0.271834211306772,38,-2.73684210526316,1.51896498414022,0.246408658375092,33,2.78787878787879,1.2931931351691,0.246408658375092,37,-1.86486486486486,1.43685927096726,0.236218209047331,35,2.82857142857143,0.8219673059805,0.236218209047331,38,-1.52631578947368,1.89931484239838,0.308109552908615,33,2.72727272727273,0.977008420918394,0.308109552908615,37,-1.62162162162162,2.20291916620943,0.362157680040393,34,2.58823529411765,1.20899775819587,0.362157680040393,36,-1.19444444444444,1.4505062061116,0.241751034351933,34,2.73529411764706,1.13641711104127,0.241751034351933,35,-2.42857142857143,1.44070477617756,0.243523554278832,32,2.78125,1.1283552117445,0.243523554278832,35,-2.62857142857143,1.51629801288056,0.256301143404481,33,2.72727272727273,0.977008420918394,0.256301143404481,40,3.625,1.00479619058563,0.158872227325561,36,5.72222222222222,2.42146485902481,0.403577476504136,29,2.58620689655172,1.01830536324223,0.403577476504136,"moderate","moderate","moderate","moderate","moderate","moderate","moderate","moderate","moderate"
"3","leafy spurge",39,-2.84615384615385,1.58177883773237,0.253287325014041,32,2.5625,1.24272074043595,0.253287325014041,39,-2.71794871794872,1.57193675292477,0.251711330144207,33,2.66666666666667,1.24163870214594,0.251711330144207,38,-1.10526315789474,1.08526926996746,0.176053923283667,34,2.64705882352941,1.09772086039395,0.176053923283667,38,-1.76315789473684,1.73102392017941,0.280809160342847,34,2.32352941176471,1.00666229886552,0.280809160342847,37,-0.864864864864865,1.15859498632712,0.190471842449243,34,2.58823529411765,1.13130782614833,0.190471842449243,37,-0.324324324324324,1.47297986057844,0.242156397400281,35,2.65714285714286,1.0555973258235,0.242156397400281,35,-2.34285714285714,1.62594510331425,0.274834884404208,32,2.65625,1.09572115006952,0.274834884404208,36,-2.52777777777778,1.71524444090733,0.285874073484555,33,2.54545454545455,0.938446491911936,0.285874073484555,40,3.6,1.23620594085497,0.195461321506656,36,5.41666666666667,2.46547590306039,0.410912650510064,28,2.39285714285714,1.03061598676195,0.410912650510064,"moderate","moderate","moderate","low","moderate","moderate","moderate","moderate","low"
"4","musk thistle",39,-2.71794871794872,1.23434870848681,0.197653979841686,32,2.53125,1.07716398847368,0.197653979841686,39,-2.46153846153846,1.33468217872969,0.213720193196536,33,2.72727272727273,1.00848671510608,0.213720193196536,38,-0.947368421052632,0.957117531291506,0.155264966115275,34,2.61764705882353,1.01547737340631,0.155264966115275,38,-1.57894736842105,1.5532281805771,0.251966882793565,35,2.65714285714286,0.802307596244481,0.251966882793565,37,-0.72972972972973,0.990192143212862,0.162786585581916,35,2.62857142857143,1.05957023157045,0.162786585581916,37,0.27027027027027,1.67744264099069,0.275769871441693,36,2.47222222222222,0.940702203101829,0.275769871441693,35,-1.94285714285714,1.23533413300535,0.208809579704166,32,2.6875,0.820601667542903,0.208809579704166,36,-2.11111111111111,1.46926177338491,0.244876962230818,33,2.54545454545455,0.832575412909737,0.244876962230818,40,4,0.877058019307029,0.138675049056307,37,5.37837837837838,2.08634916848855,0.342993690464891,29,2.6551724137931,0.76885174443849,0.342993690464891,"moderate","moderate","moderate","moderate","moderate","low","moderate","moderate","moderate"
"5","plumeless thistle",37,-1.45945945945946,1.23815711161106,0.203551775273784,33,2.72727272727273,1.17984975931067,0.203551775273784,37,-1.54054054054054,1.30372531604618,0.214331121682348,33,2.45454545454545,1.09232862188163,0.214331121682348,37,-0.621621621621622,0.828363559185329,0.13618213025073,34,2.67647058823529,1.29616189213535,0.13618213025073,37,-0.945945945945946,1.12905924325288,0.185616196198527,34,2.67647058823529,1.17345871149929,0.185616196198527,36,-0.5,0.810643483377778,0.13510724722963,35,2.54285714285714,1.24482120480524,0.13510724722963,36,0.277777777777778,1.16155342072862,0.193592236788103,36,2.41666666666667,1.10518259641951,0.193592236788103,35,-1.37142857142857,1.30802307691718,0.221096253747929,32,2.53125,1.21772858356278,0.221096253747929,35,-1.51428571428571,1.57874537997421,0.266856675003639,33,2.42424242424242,1.1734112405265,0.266856675003639,40,2.475,1.17642439577491,0.186009029281804,36,4,2.44948974278318,0.408248290463863,28,2.57142857142857,0.835710894037345,0.408248290463863,"moderate","low","moderate","moderate","moderate","low","moderate","low","moderate"
"6","russian olive",37,-1.51351351351351,0.989433665780066,0.16266189266007,34,2.44117647058824,1.2356123857887,0.16266189266007,36,-1.41666666666667,1.07902072004467,0.179836786674111,33,2.54545454545455,1.12057209414737,0.179836786674111,36,-1.88888888888889,1.34754332615802,0.22459055435967,35,2.57142857142857,1.00836834673103,0.22459055435967,36,-1.08333333333333,1.27335327832796,0.212225546387994,35,2.74285714285714,1.01003369608488,0.212225546387994,36,-1.5,1.59463385855724,0.26577230975954,35,2.48571428571429,1.14715578129329,0.26577230975954,36,-0.555555555555556,1.25229947227249,0.208716578712082,35,2.68571428571429,1.10537266996059,0.208716578712082,35,-1.8,1.18321595661992,0.2,32,2.8125,1.0297979758029,0.2,35,-1.71428571428571,1.40527218572289,0.237534353363068,33,2.63636363636364,1.11294041333594,0.237534353363068,40,2.725,0.986771477454607,0.156022269942303,37,5.37837837837838,2.24042842320828,0.368324163905579,29,2.72413793103448,0.996298568421346,0.368324163905579,"low","moderate","moderate","moderate","low","moderate","moderate","moderate","moderate"
"7","scotch thistle",37,-1.45945945945946,1.26039223600774,0.207207207207207,33,2.45454545454545,1.17502417770096,0.207207207207207,36,-1.36111111111111,1.15022427074718,0.191704045124529,35,2.34285714285714,1.1099246700156,0.191704045124529,36,-0.444444444444444,0.6068393265552,0.1011398877592,35,2.48571428571429,1.17251435640097,0.1011398877592,36,-0.944444444444444,1.04045167237103,0.173408612061839,35,2.62857142857143,1.19029690526737,0.173408612061839,36,-0.388888888888889,0.549169647365276,0.0915282745608793,35,2.68571428571429,1.23124586762946,0.0915282745608793,36,0.333333333333333,1.09544511501033,0.182574185835055,35,2.6,1.11671788000793,0.182574185835055,35,-1.34285714285714,1.23533413300534,0.208809579704166,32,2.5625,1.13414739896569,0.208809579704166,35,-1.57142857142857,1.50070011672424,0.253664617744214,33,2.63636363636364,1.19420951412906,0.253664617744214,40,2.3,1.15913318630334,0.183275049010343,37,3.72972972972973,2.39963710970185,0.394497910735339,30,2.66666666666667,1.02833421822276,0.394497910735339,"low","low","low","moderate","moderate","moderate","moderate","moderate","moderate"
"8","sericea lespedeza",37,-2,1.64991582276861,0.271244490402245,33,2.63636363636364,1.36515067433466,0.271244490402245,35,-1.74285714285714,1.55946554085342,0.263597787390955,34,2.55882352941176,1.21083934000691,0.263597787390955,37,-0.540540540540541,0.730091112829785,0.120026239589858,35,2.48571428571429,1.14715578129329,0.120026239589858,36,-1.11111111111111,1.40971684649847,0.234952807749745,36,2.5,1.25356634105602,0.234952807749745,37,-0.540540540540541,0.730091112829785,0.120026239589858,35,2.57142857142857,1.21958802797633,0.120026239589858,37,-0.324324324324324,1.35511487938711,0.222779513853662,35,2.54285714285714,1.12047408933627,0.222779513853662,35,-1.57142857142857,1.33473315874073,0.225611081607393,32,2.6875,1.1198358174592,0.225611081607393,36,-2,1.75662013130736,0.29277002188456,33,2.27272727272727,1.06866526777352,0.29277002188456,40,2.375,1.19158373389024,0.188405931095056,36,4.30555555555556,2.3882981920121,0.398049698668683,28,2.32142857142857,0.772373514927102,0.398049698668683,"moderate","moderate","low","low","moderate","moderate","moderate","low","low"
"9","smooth brome",37,-2.18918918918919,1.88322769376051,0.309600725719632,32,2.78125,1.31331579869305,0.309600725719632,38,-1.63157894736842,1.80720857815312,0.293167943827704,33,2.90909090909091,1.20839863982349,0.293167943827704,37,-0.702702702702703,1.17532182034598,0.193221717022768,34,2.79411764705882,1.09487543956561,0.193221717022768,37,-1.43243243243243,1.77232647701859,0.291368677996328,34,2.79411764705882,1.17497676997555,0.291368677996328,35,-0.485714285714286,0.88687914726232,0.14990993694775,34,2.67647058823529,1.12062180345622,0.14990993694775,35,-1.05714285714286,1.43368831510686,0.242337555893424,35,2.74285714285714,1.26822843421228,0.242337555893424,35,-1.94285714285714,1.45405835999994,0.245780721915504,32,3.03125,1.03126527359168,0.245780721915504,35,-2.2,1.87553913817428,0.31702397650757,33,2.66666666666667,1.16368667031408,0.31702397650757,38,2.81578947368421,1.2048385146453,0.195450616078837,35,5.31428571428571,2.62086008077982,0.443006209663838,30,2.96666666666667,1.09806517403876,0.443006209663838,"moderate","moderate","moderate","moderate","moderate","moderate","moderate","moderate","moderate"
"10","spotted and diffuse knapweed",38,-1.63157894736842,1.23946485033682,0.201067749463267,33,2.33333333333333,0.924211375534118,0.201067749463267,38,-1.55263157894737,1.30895808412754,0.21234104060777,32,2.375,1.07012209131602,0.21234104060777,37,-0.405405405405405,0.59904829426254,0.0984829329237633,35,2.48571428571429,1.22165337751341,0.0984829329237633,37,-1.05405405405405,1.10418260229874,0.181526501618107,35,2.51428571428571,1.14715578129329,0.181526501618107,37,-0.513513513513513,0.731118687036882,0.120195171748886,35,2.48571428571429,1.19733597848647,0.120195171748886,37,-0.162162162162162,1.19055340804914,0.19572577461622,35,2.42857142857143,1.09237233163623,0.19572577461622,35,-1.51428571428571,1.35844696299138,0.229619446119039,32,2.53125,1.13547986161316,0.229619446119039,36,-1.52777777777778,1.50211491116665,0.250352485194442,33,2.45454545454545,1.20132502603659,0.250352485194442,39,2.30769230769231,1.19547053396177,0.191428489531681,37,3.83783783783784,2.35128231578612,0.386548431584233,28,2.75,0.967049732529401,0.386548431584233,"low","low","low","moderate","low","low","moderate","low","moderate"
